ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,pnl,R_multiple,bars_held
GOOGL,long,2010-10-19,2010-11-15,15.110120632128451,14.89668722704929,1071.4519760840951,-239.87927147535825,-0.23987927147535823,27
AAPL,long,2010-10-19,2010-11-16,9.086947064909856,8.981224231413524,1874.040845110151,-209.9305478578617,-0.20993054785786172,28
PG,long,2010-10-19,2010-11-23,39.92565230182424,39.918779285739156,501.18154235104936,-17.449562024846504,-0.026993678278495907,35
CSCO,short,2010-11-17,2010-12-27,12.57338103399702,12.772014346433616,809.9387545268071,-168.10591417544725,-0.16531369184837139,40
CRM,long,2010-11-22,2010-12-30,33.26638759126703,32.44124594998806,286.92031261522504,-243.28920935808875,-0.23705426623411716,38
NFLX,long,2010-11-23,2010-12-31,2.661759215354919,2.507999897003174,3484.688211121747,-541.9745827110509,-0.5312979880081293,38
KO,long,2010-10-19,2011-01-05,18.536876530077325,19.819294005594667,1079.4698862849107,1369.493447838607,2.3902544230188476,78
AMZN,long,2010-11-26,2011-01-21,8.872434030532837,8.975500106811523,1421.0207524398868,137.5456188271785,0.13370330424528618,56
NVDA,long,2011-01-03,2011-02-23,0.35547605982387687,0.5121150400897491,38489.38338329045,6015.742963517189,5.774686563323357,51
HD,long,2011-01-21,2011-03-02,25.565295765855712,25.247168093875768,870.7488045611673,-292.425750008779,-0.27965246025655655,40
XOM,long,2010-10-19,2011-03-10,36.201794061072526,45.54361122222304,552.7350375576159,5146.444529629255,6.372875472769711,142
DIS,long,2010-11-15,2011-03-14,31.617680521524903,35.51622556763436,537.3361391896974,2081.6797203803562,2.0187324693300432,119
AAPL,long,2011-01-05,2011-03-16,9.870151724499614,10.109793565885774,2152.7022775992245,500.69476256909576,0.6109781514763895,70
PG,short,2011-03-16,2011-04-04,38.88306049011768,40.07318755883127,593.9170451748358,-723.4261727597375,-0.8300073910740507,19
MSFT,short,2011-03-08,2011-04-05,19.678643399555764,19.879489654375146,1073.4187807745939,-230.50789504022154,-0.1977930926347581,28
CSCO,short,2011-02-24,2011-04-06,11.78513584389665,11.669212157385683,1402.1581047076618,151.07362595386456,0.13011900842145624,41
JNJ,short,2011-03-16,2011-04-15,37.79562061579036,38.892744797685445,611.0049793440118,-686.9158657750305,-0.8299629439016791,30
CSCO,short,2011-04-19,2011-05-10,10.707444545207684,11.407764074437388,1609.588005865727,-1139.966452089784,-1.0113025591445242,21
KO,long,2011-03-30,2011-05-26,20.606344075665323,20.80915190875948,1103.4066732592464,207.7292244202876,0.2292839491674966,57
AMZN,long,2011-05-11,2011-05-26,10.161078137397766,9.557000160217285,1547.2049566200808,-945.0765503355346,-0.8323600798680946,15
PEP,long,2011-04-13,2011-06-08,42.042683813586244,43.68234097334165,537.0624760797127,864.264291630612,1.1087300540005447,56
TSLA,long,2011-05-26,2011-06-20,1.9222936218380926,1.715999960899353,4586.864382561224,-951.8454111834251,-0.8443641524177435,25
JNJ,long,2011-04-20,2011-06-23,40.83066337641126,42.447124265338225,552.4310665465518,876.6581341311868,1.1455603024130432,64
HD,short,2011-06-09,2011-06-23,23.835483319931456,25.039601599564264,943.2371808581156,-1152.1883528432327,-1.0144564778943823,14
V,short,2011-06-27,2011-06-29,16.54446036166348,17.531913012609746,1139.2225055164574,-1138.7967151696703,-1.012328281089797,2
GOOGL,short,2011-04-18,2011-07-05,13.051358958786349,13.06780865535765,1315.7925215042087,-33.67839072157653,-0.029866094739855808,78
CSCO,short,2011-05-26,2011-07-07,10.392329861593788,10.282006190523521,1833.3561417628648,189.0469482411783,0.16769999029607463,42
ADBE,short,2011-06-23,2011-07-07,29.6551650762558,32.09653556910494,458.81418929919226,-1130.3318520757175,-1.0091028534645519,14
JPM,short,2011-06-27,2011-07-21,26.141445253468145,27.911502872417344,596.527455550608,-1067.4373632653258,-0.9488937022130534,24
NFLX,long,2011-05-26,2011-07-26,3.7061382415294646,3.5948569774627686,3369.315831908766,-383.4577649565496,-0.34015816737823806,61
CRM,long,2011-07-07,2011-07-27,38.72227159538402,35.66507534396856,359.93317928837223,-1109.4823358877888,-1.0082661596730076,20
V,long,2011-06-30,2011-07-29,19.330537804815993,18.789227281664598,808.605451200049,-448.38556059880324,-0.4117769867052809,29
AMZN,long,2011-07-05,2011-08-03,10.443218725204467,10.41450023651123,1447.069900846253,-52.111173229062764,-0.047537678980472134,29
GOOGL,long,2011-07-22,2011-08-05,15.02425237250337,14.048362761417666,1136.2315816681846,-1120.1210154052699,-1.0101768097347112,14
TSLA,short,2011-08-08,2011-08-12,1.5392299618721008,1.7985927759020068,4357.944379584482,-1135.6624058983089,-1.0047542615788636,4
HD,short,2011-08-05,2011-08-24,22.565176596614474,24.1599031067569,678.2947095517732,-1093.0576596784858,-1.0105049106647255,19
NVDA,short,2011-06-17,2011-09-14,0.374798865857755,0.34133367141344134,23161.573337547918,769.4949673176227,0.6795704483989584,89
ADBE,short,2011-07-29,2011-09-14,27.986,25.8700008392334,490.5474400532405,1029.0108477916124,0.944110444295012,47
CRM,short,2011-08-19,2011-09-15,28.91504119523813,32.868848347524214,234.6670029041202,-933.1345555718377,-0.8325234099279836,27
AMZN,long,2011-09-19,2011-10-03,11.861427971363067,10.66393918833285,928.6967481765082,-1119.147645124754,-1.0063336762879267,14
AAPL,long,2011-07-08,2011-10-04,10.582671247894279,10.970731975724991,1834.1632443248923,697.7524208781637,0.6313697672138113,88
V,long,2011-09-19,2011-10-04,20.115299530678026,18.660328955429858,648.4316934120043,-952.0133429691414,-0.8560470921586933,15
PEP,short,2011-07-27,2011-10-12,40.72480794568429,40.75259169758604,539.5531630188926,-30.38104496415501,-0.031187508536654883,77
DIS,short,2011-08-03,2011-10-12,31.521950029657955,28.42151965708549,534.7383152991606,1647.1144693625652,1.5303775933052444,70
JPM,short,2011-08-05,2011-10-19,25.56773846258071,22.82087225194515,548.7268931113523,1498.362935188218,1.3851996649573524,75
AMZN,long,2011-10-17,2011-10-26,12.220607677459716,10.184499740600586,785.3249159658565,-1604.7648940228098,-1.5079366528442848,9
PG,long,2011-10-11,2011-11-04,42.02606236260901,41.13458153360821,456.6905689066351,-420.3216428640538,-0.39110718797396465,24
CRM,long,2011-10-31,2011-11-18,33.17787091529486,29.354648845727183,230.31739736985466,-885.3752325114775,-0.8395934611400586,18
V,long,2011-10-31,2011-11-21,21.196722225735186,20.134454964172196,564.237936058257,-607.3838606741286,-0.5759767148415144,21
GOOGL,long,2011-11-08,2011-11-21,15.113842367749323,14.20983509478771,987.6020987441308,-902.7123240785467,-0.849026828422075,13
XOM,long,2011-10-24,2011-11-23,45.17222685159352,42.62438923800452,325.4460246770073,-838.9768978496364,-0.7906465906205,30
ADBE,long,2011-11-09,2011-11-23,27.50374477100372,26.049999237060547,376.02408510912534,-553.5547977070436,-0.5309602805600399,14
CSCO,long,2011-10-13,2011-11-25,11.13886899886776,11.185171794891357,1046.7050437700145,40.27491366236336,0.03787118990001949,43
TSLA,long,2011-10-31,2011-12-08,1.967650389611721,2.0199999809265137,4042.9406202554133,205.95073582620122,0.19530125168079013,38
NFLX,short,2011-09-16,2012-01-04,2.395944315671921,1.108428955078125,2067.9597584332164,2660.6591705452665,2.4443483560059036,110
AMZN,short,2011-11-22,2012-01-18,9.342826097488404,9.232500076293945,801.1980503677936,83.20621104372427,0.08085351449610197,57
CRM,short,2011-12-22,2012-01-19,24.434835992421384,27.364085806659357,248.87358743726705,-733.7071472195267,-0.7000583545326037,28
GOOGL,long,2011-12-05,2012-01-20,15.576439368470167,14.648137955238797,995.7753362636922,-934.6824680283304,-0.9018335504744112,46
TSLA,short,2012-01-17,2012-01-26,1.7737796911001207,1.9666670560836792,3522.8749222083684,-684.2999345418871,-0.6522961815316374,9
XOM,long,2011-12-21,2012-01-31,46.63542936885706,47.635073797451355,360.35686292773494,348.24881517317465,0.3329946846389621,41
